block_id,trip_id,trip_headsign,departure_time,arrival_time
steep208,20171021-92-92641,92 - Oshawa Terminal,17:45:00,19:10:00
steep208,20171021-92-92740,92 - Yorkdale Term,20:05:00,21:20:00
steep208,20171021-92-92811,92 - Oshawa Terminal,21:50:00,23:05:00
steep208,20171021-92-92860,92 - Yorkdale Term,23:35:00,24:50:00
steep208,20171021-71-71963,71G - Unionville GO,26:30:00,26:55:00
steep209,20171021-71-71703,71G - Unionville GO,19:00:00,19:35:00
steep209,20171021-63-63771,63A - King City GO,20:50:00,21:50:00
steep209,20171021-63-63921,63A - King City GO,25:20:00,26:15:00
steep210,20171021-63-63731,63A - King City GO,19:50:00,20:50:00
steep210,20171021-63-63891,63A - King City GO,24:20:00,25:15:00
steep301,20171021-60-60191,60 - Canadas Wonderland,08:00:00,08:30:00
steep301,20171021-60-60261,60 - Canadas Wonderland,09:30:00,10:00:00
steep301,20171021-60-60321,60 - Canadas Wonderland,11:00:00,11:30:00
steep301,20171021-60-60401,60 - Canadas Wonderland,13:00:00,13:30:00
steep306,20171021-60-60890,60 - York Mills Term,24:30:00,25:00:00
steep307,20171021-60-60661,60 - Canadas Wonderland,18:00:00,18:30:00
steep307,20171021-60-60700,60 - York Mills Term,19:00:00,19:30:00
steep307,20171021-60-60741,60 - Canadas Wonderland,20:00:00,20:30:00
steep307,20171021-60-60780,60 - York Mills Term,21:00:00,21:30:00
steep307,20171021-60-60830,60 - York Mills Term,22:30:00,23:00:00
steep307,20171021-60-60880,60 - York Mills Term,24:00:00,24:30:00
steep307,20171021-60-60920,60 - York Mills Term,25:30:00,26:00:00
steep401,20171021-68-68302,68D - Union Station,09:10:00,10:40:00
steep401,20171021-63-63341,63A - King City GO,11:40:00,12:40:00
steep401,20171021-63-63450,63A - Union Station,13:20:00,14:20:00
steep401,20171021-68-68551,68D - Allandale Waterfront GO,16:20:00,17:50:00
steep402,20171021-68-68332,68D - Union Station,09:55:00,11:25:00
steep402,20171021-63-63441,63A - King City GO,14:10:00,15:10:00
steep402,20171021-63-63590,63A - Union Station,15:50:00,16:50:00
steep402,20171021-68-68631,68D - Allandale Waterfront GO,17:35:00,19:05:00
steep408,20171021-68-68801,68D - Allandale Waterfront GO,21:40:00,23:10:00
steep409,20171021-65-65703,65C - Aurora GO,19:05:00,19:50:00
steep409,20171021-63-63851,63A - King City GO,23:00:00,23:55:00
strvl001,20171021-31-31150,31E - Union Station,06:00:00,07:25:00
strvl001,20171021-21-21181,21P - Meadowvale GO,07:50:00,09:00:00
strvl002,20171021-21-21130,21P - Union Station,05:55:00,07:10:00
strvl002,20171021-21-21260,21P - Union Station,08:15:00,09:30:00
strvl002,20171021-21-21331,21P - Meadowvale GO,11:20:00,12:40:00
strvl002,20171021-27-27400,27F - Finch Terminal,13:00:00,14:00:00
strvl002,20171021-27-27461,27F - Meadowvale GO,14:30:00,15:30:00
strvl003,20171021-18-18092,18H - Union Station,06:10:00,07:00:00
strvl003,20171021-31-31161,31 - U of Guelph,07:30:00,10:00:00
strvl003,20171021-31-31412,31A - Union Station,10:55:00,13:35:00
strvl003,20171021-21-21441,21P - Meadowvale GO,14:00:00,15:25:00
strvl004,20171021-21-21160,21P - Union Station,06:25:00,07:40:00
strvl004,20171021-21-21211,21P - Meadowvale GO,08:20:00,09:30:00
strvl007,20171021-21-21460,21P - Union Station,13:15:00,14:50:00
strvl007,20171021-21-21531,21P - Meadowvale GO,15:40:00,17:10:00
strvl008,20171021-21-21210,21P - Union Station,07:10:00,08:25:00
strvl008,20171021-21-21245,21B - Milton GO,09:00:00,10:00:00
strvl008,20171021-21-21344,21B - Union Station,10:25:00,11:40:00
strvl008,20171021-21-21385,21B - Milton GO,12:30:00,13:40:00
strvl008,20171021-21-21514,21B - Union Station,14:25:00,15:45:00
strvl008,20171021-21-21591,21P - Meadowvale GO,16:50:00,18:20:00
strvl009,20171021-21-21230,21P - Union Station,07:40:00,08:55:00
strvl009,20171021-21-21265,21B - Milton GO,09:30:00,10:30:00
strvl009,20171021-21-21364,21B - Union Station,10:55:00,12:15:00
strvl009,20171021-21-21401,21P - Meadowvale GO,13:00:00,14:25:00
strvl009,20171021-21-21550,21P - Union Station,14:55:00,16:30:00
