block_id,trip_id,trip_headsign,departure_time,arrival_time
DDL31016,20171020-47-47654,47C - Erin Mills,16:10:00,16:50:00
DDL31016,20171020-47-47724,47C - Erin Mills,17:55:00,18:30:00
DDL31016,20171020-45-45741,45 - Streetsville GO,20:00:00,20:55:00
DDL31017,20171020-47-47618,47H - Bronte Carpool,15:10:00,15:37:00
DDL31017,20171020-47-47686,47F - York U,16:30:00,17:50:00
DDL31018,20171020-47-47612,47F - York U,15:10:00,16:25:00
DDL31018,20171020-45-45583,45A - Square One,16:45:00,17:40:00
DDL31019,20171020-47-47616,47B - Square One,15:10:00,15:45:00
DDL31019,20171020-47-47696,47F - York U,17:10:00,18:30:00
DDL31020,20171020-45-45493,45A - Square One,15:15:00,15:55:00
DDL31020,20171020-47-47519,47B - McMaster U,16:20:00,17:00:00
DDL31020,20171020-47-47706,47B - Square One,17:20:00,18:00:00
DDL31021,20171020-47-47646,47F - York U,15:40:00,16:55:00
DDL31021,20171020-45-45613,45A - Square One,17:15:00,18:10:00
DDL31022,20171020-47-47648,47C - Erin Mills,15:45:00,16:25:00
DDL31022,20171020-47-47698,47C - Erin Mills,17:25:00,18:05:00
DDL31023,20171020-48-48580,48B - York U,15:50:00,16:45:00
DDL31023,20171020-48-48601,48B - Meadowvale GO,17:05:00,18:10:00
DDL31025,20171020-48-48712,48F - York U,17:20:00,18:45:00
DDL91001,20171020-90-90031,90 - Oshawa GO,05:07:00,05:57:00
DDL91001,20171020-96-96090,96D - Finch Terminal,06:20:00,07:25:00
DDL91001,20171020-96-96191,96B - Oshawa GO,08:00:00,09:10:00
DDL91001,20171020-96-96260,96B - Finch Terminal,09:30:00,10:35:00
DDL91001,20171020-96-96321,96B - Oshawa GO,11:05:00,12:05:00
DDL91002,20171020-81-81081,81A - Whitby GO,05:23:00,06:03:00
DDL91002,20171020-96-96094,96C - Finch Terminal,06:40:00,07:30:00
DDL91003,20171020-96-96030,96B - Finch Terminal,05:00:00,06:00:00
DDL91003,20171020-96-96071,96B - Oshawa GO,06:05:00,07:05:00
DDL91003,20171020-96-96182,96A - Scarboro Term,07:45:00,08:40:00
DDL91003,20171020-93-93241,93 - UOIT/D.C.,09:15:00,09:50:00
DDL91003,20171020-93-93280,93 - Scarboro Term,10:10:00,10:45:00
DDL91003,20171020-93-93321,93 - UOIT/D.C.,11:15:00,11:50:00
DDL91003,20171020-93-93360,93 - Scarboro Term,12:10:00,12:45:00
DDL91003,20171020-93-93401,93 - UOIT/D.C.,13:15:00,13:50:00
DDL91004,20171020-81-81111,81A - Whitby GO,05:44:00,06:24:00
DDL91004,20171020-96-96152,96A - Scarboro Term,07:15:00,08:10:00
DDL91004,20171020-93-93221,93 - UOIT/D.C.,08:45:00,09:20:00
DDL91005,20171020-96-96052,96A - Scarboro Term,05:30:00,06:10:00
DDL91005,20171020-93-93111,93 - UOIT/D.C.,06:45:00,07:20:00
DDL91005,20171020-52-52280,52 - York U,08:25:00,09:55:00
DDL91005,20171020-52-52281,52 - Oshawa Terminal,10:45:00,12:10:00
DDL91006,20171020-81-81141,81A - Whitby GO,06:19:00,07:04:00
DDL91006,20171020-92-92172,92A - Finch Terminal,08:04:00,09:25:00
DDL91006,20171020-51-51412,51A - York U,10:35:00,11:10:00
DDL91007,20171020-52-52110,52 - York U,05:55:00,07:25:00
DDL91007,20171020-52-52101,52 - Oshawa Terminal,07:45:00,09:10:00
DDL91007,20171020-52-52440,52 - York U,10:00:00,11:25:00
DDL91007,20171020-52-52311,52 - Oshawa Terminal,11:45:00,13:10:00
DDL91008,20171020-92-92062,92A - Finch Terminal,06:00:00,07:00:00
