block_id,trip_id,trip_headsign,departure_time,arrival_time
eggoG009,20170620-67-67361,67 - Woodbine/404,12:08:00,13:08:00
eggoG010,20170620-67-67140,67 - Finch Terminal,06:05:00,07:10:00
eggoG010,20170620-65-65272,65C - Union Station,08:34:00,09:40:00
eggoG010,20170620-65-65281,65 - East Gwillimbury GO,10:10:00,11:25:00
eggoG010,20170620-65-65400,65 - Union Station,12:00:00,13:10:00
eggoG010,20170620-65-65431,65 - East Gwillimbury GO,13:40:00,15:05:00
eggoG011,20170620-68-68021,68 - Barrie Terminal,06:20:00,07:30:00
eggoG011,20170620-68-68420,68 - Newmarket Term,07:45:00,09:00:00
eggoG011,20170620-66-66420,66 - Yorkdale Term,09:05:00,10:00:00
eggoG011,20170620-71-71342,71F - Union Station,11:01:00,11:45:00
eggoG011,20170620-65-65423,65A - Newmarket Term,13:10:00,14:20:00
eggoG012,20170620-67-67170,67 - Finch Terminal,06:30:00,07:40:00
eggoG012,20170620-61-61280,61C - Union Station,09:00:00,10:05:00
eggoG012,20170620-65-65380,65 - Union Station,11:30:00,12:40:00
eggoG012,20170620-65-65421,65B - East Gwillimbury GO,13:30:00,14:40:00
eggoG012,20170620-65-65550,65 - Union Station,15:00:00,16:15:00
eggoG022,20170620-71-71480,71 - Union Station,13:40:00,15:20:00
eggoG022,20170620-66-66591,66A - Newmarket Term,17:15:00,18:25:00
eggoG022,20170620-65-65770,65 - Union Station,19:30:00,20:40:00
eggoG022,20170620-65-65813,65A - Newmarket Term,21:10:00,22:15:00
eggoG022,20170620-68-68801,68A - Bradford,22:25:00,22:45:00
eggoG023,20170620-65-65460,65 - Union Station,13:30:00,14:40:00
eggoG023,20170620-65-65481,65B - East Gwillimbury GO,15:00:00,16:25:00
eggoG023,20170620-65-65690,65 - Union Station,17:30:00,18:50:00
eggoG023,20170620-65-65741,65B - East Gwillimbury GO,20:00:00,21:10:00
eggoG024,20170620-65-65490,65 - Union Station,14:00:00,15:10:00
eggoG024,20170620-92-92593,92A - Ajax,16:53:00,18:07:00
eggoG024,20170620-65-65721,65B - East Gwillimbury GO,19:30:00,20:40:00
eggoG024,20170620-65-65840,65 - Union Station,21:30:00,22:40:00
eggoG024,20170620-65-65863,65A - Newmarket Term,23:10:00,24:10:00
eggoG025,20170620-65-65483,65C - Aurora GO,14:55:00,16:00:00
eggoG025,20170620-67-67601,67 - Woodbine/404,17:08:00,18:33:00
bramp038,20170620-36-36710,36B - York Mills Term,19:10:00,19:55:00
DDH31004,20170620-45-45070,45 - York U,06:07:00,07:00:00
DDH31004,20170620-48-48191,48B - Meadowvale GO,08:05:00,09:05:00
DDH31024,20170620-46-46530,46 - York U,14:25:00,15:55:00
DDH31024,20170620-46-46551,46 - Oakville GO,16:15:00,17:50:00
DDH31024,20170620-46-46730,46 - York U,18:30:00,19:55:00
DDH31024,20170620-45-45761,45 - Streetsville GO,20:30:00,21:25:00
DDH31024,20170620-45-45831,45 - Streetsville GO,22:30:00,23:25:00
DDH31025,20170620-46-46471,46 - Oakville GO,14:45:00,16:05:00
DDH31025,20170620-46-46670,46 - York U,16:45:00,18:25:00
DDH31025,20170620-46-46691,46 - Oakville GO,18:45:00,20:00:00
DDH31025,20170620-46-46810,46 - York U,20:35:00,21:55:00
DDH31025,20170620-46-46821,46 - Oakville GO,22:15:00,23:25:00
DDH31026,20170620-45-45481,45 - Streetsville GO,15:00:00,16:00:00
DDH31026,20170620-45-45630,45 - York U,16:30:00,17:35:00
DDL21003,20170620-48-48370,48 - York U,10:35:00,12:15:00
DDL21003,20170620-48-48381,48 - U of Guelph,12:35:00,14:20:00
DDL21003,20170620-48-48610,48 - York U,15:25:00,17:15:00
DDL21003,20170620-48-48631,48 - U of Guelph,17:35:00,19:35:00
DDL21003,20170620-48-48820,48 - York U,20:45:00,22:15:00
DDL21003,20170620-48-48831,48 - U of Guelph,22:35:00,24:05:00
DDL21004,20170620-29-29080,29 - Square One,06:15:00,07:35:00
DDL21004,20170620-29-29091,29 - Guelph Central GO,08:20:00,09:40:00
DDL21004,20170620-29-29430,29 - Square One,10:20:00,11:35:00
DDL21004,20170620-29-29271,29 - Guelph Central GO,13:20:00,14:35:00
DDL21004,20170620-29-29600,29 - Square One,15:10:00,16:35:00
DDL21004,20170620-29-29591,29 - Guelph Central GO,17:20:00,18:45:00
